Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
DKI Jakarta,Jawa,2,0,0,2,41,20,75,-54,10846145,0,4,0,2,49,183,1,1,1
DKI Jakarta,Jawa,2,0,0,2,43,20,75,-52,10846145,0,4,0,2,47,174,1,1,1
Riau,Sumatera,0,0,0,0,1,0,1,0,6074100,0,0,0,0,0,100,0,1,1
DKI Jakarta,Jawa,2,0,0,2,45,20,75,-50,10846145,0,4,0,2,44,167,1,1,1
Jawa Barat,Jawa,1,0,0,1,2,1,60,-59,45161325,0,0,0,0,50,3000,1,0,1
Riau,Sumatera,0,0,0,0,1,0,1,0,6074100,0,0,0,0,0,100,1,1,1
Jawa Barat,Jawa,1,0,0,1,3,1,60,-58,45161325,0,0,0,0,33,2000,1,1,1
DKI Jakarta,Jawa,0,0,0,0,45,21,75,-51,10846145,0,4,0,2,47,167,1,0,1
Jawa Barat,Jawa,1,0,0,1,4,1,60,-57,45161325,0,0,0,0,25,1500,1,1,1
Banten,Jawa,0,0,0,0,1,5,111,-115,10722374,0,0,0,0,500,11100,0,1,1
Jawa Barat,Jawa,0,0,0,0,4,1,60,-57,45161325,0,0,0,0,25,1500,0,1,1
DKI Jakarta,Jawa,0,0,0,0,45,23,75,-53,10846145,0,4,0,2,51,167,1,0,1
Jawa Barat,Jawa,0,0,0,0,4,1,60,-57,45161325,0,0,0,0,25,1500,1,1,1
Banten,Jawa,0,0,0,0,2,5,114,-117,10722374,0,0,0,0,250,5700,0,1,1
Jawa Tengah,Jawa,0,0,0,0,1,10,11,-20,36364072,0,0,0,0,1000,1100,0,0,1
Banten,Jawa,0,0,8,-8,2,5,122,-125,10722374,0,0,0,0,250,6100,1,1,1
DKI Jakarta,Jawa,0,0,0,0,45,24,75,-54,10846145,0,4,0,2,53,167,1,0,1
Jawa Tengah,Jawa,0,0,0,0,1,10,11,-20,36364072,0,0,0,0,1000,1100,1,1,1
Banten,Jawa,0,0,8,-8,2,5,130,-133,10722374,0,0,0,0,250,6500,1,1,1
DKI Jakarta,Jawa,0,0,0,0,45,24,75,-54,10846145,0,4,0,2,53,167,1,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,1,0,0,1,2635461,0,0,0,0,0,0,0,1,1
Bali,Nusa Tenggara,0,0,0,0,1,1,3,-3,4216171,0,0,0,0,100,300,0,0,1
Jawa Tengah,Jawa,0,0,0,0,3,11,12,-20,36364072,0,0,0,0,367,400,0,0,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,1,0,0,1,2635461,0,0,0,0,0,0,1,1,1
Bali,Nusa Tenggara,0,0,0,0,1,1,3,-3,4216171,0,0,0,0,100,300,1,1,1
DKI Jakarta,Jawa,4,1,3,0,51,26,82,-57,10846145,0,5,0,2,51,161,2,1,1
